Emerging Technology,KPI Research Phase (Topic),KPI Research Activity Arc (Topic)
5G Networks,Study,Park
Adaptive Security Architecture,Study,Engage
Advanced Analytics,Relate,Engage
Affective Computing,Study,Park
AI Ethics,Study,Engage
Angular,Adopt,Engage
API gateway,Adopt,Engage
AI - Chatbot,Readiness,Engage
AI - Cyber Security,Adopt/Readiness,Engage
AI - Virtual Assistants,Adopt,Engage
Augmented Analytics,Study,Park
Augmented Data Catalogues,Study,Park
Auto Machine Learning,Identify,Engage
Autonomic Computing,Study,Park
Big Data,Adopt,Engage
Biometrics,Adopt,Engage
Captcha Evolution,Study,Engage
Cloud Computing (Protected B),Adopt,Engage
Cloud Computing (Unclassified),Adopt/Readiness,Engage
Confidential Computing,Study,Engage
Convergence,Study,Park
Dark Data,Study,Engage
Data Anonymization,Plan,Park
Data Centricity,Study,Park
Data Collaboration Network,Study,Engage
Data Driven Organizations,Study,Park
Data Fabric,Study,Park
Data Lakes,Study,Engage
Data Marketplaces,Study,Park
Data Mesh,Study,Park
Data Ops,Study,Park
Data Orchestration,Study,Park
Data Vault Modelling,Identify,Engage
Data-driven policing,Identify,Engage
Deep Learning,Adopt,Engage
Democratization,Identify,Engage
DevOps,Adopt,Engage
Differential Privacy,Study,Engage
Digital Privacy,Study,Watch+Learn
Digital Twin,Study,Park
Distributed Web,Study,Engage
DLT - defensive (cryptocurrency),Adopt,Engage
Distributed Ledger Technology - offensive,Plan,Park
Edge Computing,Study,Park
Enterprise IT Architecture,Relate,Engage
Explainable AI,Relate,Engage
Facebook Libra,Study,Park
Flowable,Adopt,Engage
Future of work,Study,Engage
Gamification,Adopt/Readiness,Engage
Geospatial Analysis,Relate,Watch+Learn
Graph Analytics,Relate,Engage
Homomorphic encryption,Study,Engage
"Identity, Credential & Access Management",Adopt,Engage
Immersive workspace,Identify,Engage
Internet of Things (IoT),Study,Park
Knowledge graphs,Study,Park
Knowledge presentation approaches to AI,Identify,Engage
Language Based AI,Relate,Park
Legislation as Code,Study,Watch+Learn
Low Code,Study,Park
Machine Learning,Adopt/Readiness,Engage
Managed Container Services,Relate,Engage
MASA,Study,Park
Microservices,Adopt,Engage
Mobile & IoT Security,Study,Engage
Natural Systems,Relate,Watch+Learn
New Data Management Technologies,Plan,Engage
NewSQL DBMS,Study,Engage
NoSQL Databases,Relate,Engage
Observability,Study,Engage
Open Everything,Study,Engage
Pan-Canadian Trust Framework,Study,Engage
Quantum Computing,Plan,Engage
Quantum Machine Learning,Identify,Engage
R / Python,Study,Engage
Real-Time Analytics/Continuous Intelligence,Adopt,Engage
Record Linking,Relate,Engage
REST,Adopt,Engage
Robotic Process Automation,Adopt,Engage
Secure Hardware Systems,Study,Engage
Secure Multiparty Computation,Study,Engage
Taxonomy and Ontology,Study,Park
Text Analytics,Adopt,Engage
Touchless computing,Study,Engage
Two-factor Authentication,Relate,Engage
Vision-Based  AI,Adopt,Engage
Wardley Mapping,Study,Engage
