Emerging Technology,KPI Research Phase (Topic),KPI Research Activity Arc (Topic),Activity Type,Status
5G Networks,Study,Park,Backgrounder,Complete
AI Ethics,Study,Engage,Backgrounder,Complete
API gateway,Adopt,Engage,Pilot,In Progress
Adaptive Security Architecture,Study,Engage,PoC,Planned
Advanced Analytics,Relate,Engage,PoC,In Progress
Affective Computing,Study,Park,Backgrounder,Complete
Angular,Adopt,Engage,Pilot,Complete
AI - Chatbot,Readiness,Engage,Backgrounder,Complete
AI - Chatbot,Readiness,Engage,Outlook,Complete
AI - Chatbot,Readiness,Engage,Pilot,Complete
AI - Chatbot,Readiness,Engage,Reference Architecture,Complete
AI - Cyber Security,Adopt/Readiness,Engage,Backgrounder,Complete
AI - Cyber Security,Adopt/Readiness,Engage,PoC,In Progress
AI - Virtual Assistants,Adopt,Engage,Backgrounder,Complete
AI - Virtual Assistants,Adopt,Engage,Outlook,Complete
AI - Virtual Assistants,Adopt,Engage,Pilot,In Progress
AI - Virtual Assistants,Adopt,Engage,Reference Architecture,Complete
Augmented Analytics,Study,Park,Backgrounder,Complete
Augmented Data Catalogues,Study,Park,Backgrounder,Complete
Auto Machine Learning,Identify,Engage,Backgrounder,Planned
Autonomic Computing,Study,Park,Backgrounder,Complete
Big Data,Adopt,Engage,Adoption Strategy,Complete
Big Data,Adopt,Engage,Outlook,Complete
Big Data,Adopt,Engage,Pilot,Complete
Biometrics,Adopt,Engage,Adoption Strategy,In Progress
Biometrics,Adopt,Engage,Outlook,Complete
Biometrics,Adopt,Engage,Standards,Complete
Captcha Evolution,Study,Engage,Backgrounder,Planned
Cloud Computing (Protected B),Adopt,Engage,Adoption Strategy,Complete
Cloud Computing (Protected B),Adopt,Engage,Early Adopter,In Progress
Cloud Computing (Protected B),Adopt,Engage,Outlook,Complete
Cloud Computing (Protected B),Adopt,Engage,Pilot,In Progress
Cloud Computing (Protected B),Adopt,Engage,PoC,In Progress
Cloud Computing (Protected B),Adopt,Engage,Reference Architecture,Complete
Cloud Computing (Unclassified),Adopt/Readiness,Engage,Adoption Strategy,Complete
Cloud Computing (Unclassified),Adopt/Readiness,Engage,Early Adopter,Complete
Cloud Computing (Unclassified),Adopt/Readiness,Engage,Outlook,Complete
Cloud Computing (Unclassified),Adopt/Readiness,Engage,Pilot,Complete
Cloud Computing (Unclassified),Adopt/Readiness,Engage,PoC,Complete
Confidential Computing,Study,Engage,Research Summary,In Progress
Convergence,Study,Park,Backgrounder,Complete
DLT - defensive (cryptocurrency),Adopt,Engage,Backgrounder,Complete
DLT - defensive (cryptocurrency),Adopt,Engage,Outlook,Complete
DLT - defensive (cryptocurrency),Adopt,Engage,Pilot,In Progress
Distributed Ledger Technology - offensive,Plan,Park,Backgrounder,Complete
Distributed Ledger Technology - offensive,Plan,Park,Outlook,Complete
Distributed Ledger Technology - offensive,Plan,Park,PoC,Complete
Dark Data,Study,Engage,Backgrounder,In Progress
Data Anonymization,Plan,Engage,Backgrounder,Complete
Data Anonymization,Plan,Engage,Outlook,Complete
Data Anonymization,Plan,Park,PoC,In Progress
Data Centricity,Study,Park,Backgrounder,Complete
Data Collaboration Network,Study,Engage,Research Summary,Complete
Data Driven Organizations,Study,Park,Backgrounder,Complete
Data Fabric,Study,Park,Backgrounder,Complete
Data Lakes,Study,Engage,Backgrounder,Complete
Data Marketplaces,Study,Park,Backgrounder,Complete
Data Mesh,Study,Park,Backgrounder,Complete
Data Ops,Study,Park,Backgrounder,Complete
Data Orchestration,Study,Park,Backgrounder,Complete
Data Vault Modelling,Identify,Engage,Backgrounder,Planned
Data-driven policing,Identify,Engage,Backgrounder,Planned
Deep Learning,Adopt,Engage,Backgrounder,Complete
Deep Learning,Adopt,Engage,Pilot,In Progress
Deep Learning,Adopt,Engage,Reference Architecture,In Progress
Democratization,Identify,Engage,Backgrounder,Planned
DevOps,Adopt,Engage,Pilot,In Progress
Differential Privacy,Study,Engage,Backgrounder,In Progress
Digital Privacy,Study,Watch+Learn,Backgrounder,Complete
Digital Twin,Study,Park,Backgrounder,Complete
Distributed Web,Study,Engage,Backgrounder,Planned
Edge Computing,Study,Park,Backgrounder,Complete
Enterprise IT Architecture,Relate,Engage,Outlook,Planned
Explainable AI,Relate,Engage,Backgrounder,Complete
Explainable AI,Relate,Engage,Outlook,In Progress
Explainable AI,Relate,Engage,PoC,Complete
Facebook Libra,Study,Park,Backgrounder,Complete
Flowable,Adopt,Engage,Pilot,In Progress
Future of work,Study,Engage,Backgrounder,In Progress
Gamification,Adopt/Readiness,Engage,Adoption Strategy,Complete
Gamification,Adopt/Readiness,Engage,Backgrounder,Complete
Gamification,Adopt/Readiness,Engage,Outlook,Complete
Gamification,Adopt/Readiness,Engage,Pilot,Complete
Gamification,Adopt/Readiness,Engage,PoC,Complete
Geospatial Analysis,Relate,Watch+Learn,Outlook,Complete
Graph Analytics,Relate,Engage,Outlook,In Progress
Homomorphic encryption,Study,Engage,Backgrounder,Complete
"Identity, Credential & Access Management",Adopt,Engage,Outlook,Complete
"Identity, Credential & Access Management",Adopt,Engage,Pilot,Complete
"Identity, Credential & Access Management",Adopt,Engage,PoC,Complete
Immersive workspace,Identify,Engage,Backgrounder,Planned
Internet of Things (IoT),Study,Park,Backgrounder,Complete
Knowledge graphs,Study,Park,Backgrounder,Complete
Knowledge presentation approaches to AI,Identify,Engage,Backgrounder,Planned
Language Based AI,Relate,Park,Backgrounder,Complete
Language Based AI,Relate,Engage,PoC,Complete
Legislation as Code,Study,Watch+Learn,Research Summary,Complete
Low Code,Study,Park,Backgrounder,Complete
MASA,Study,Park,Backgrounder,Complete
Machine Learning,Adopt/Readiness,Engage,Backgrounder,Complete
Machine Learning,Adopt/Readiness,Engage,Pilot,In Progress
Machine Learning,Adopt/Readiness,Engage,PoC,Complete
Machine Learning,Adopt/Readiness,Engage,Reference Architecture,In Progress
Managed Container Services,Relate,Engage,PoC,In Progress
Microservices,Adopt,Engage,Pilot,In Progress
Mobile & IoT Security,Study,Engage,Backgrounder,In Progress
Natural Systems,Relate,Watch+Learn,Backgrounder,Complete
Natural Systems,Relate,Watch+Learn,PoC,Complete
New Data Management Technologies,Plan,Engage,Adoption Strategy,In Progress
NewSQL DBMS,Study,Engage,Backgrounder,In Progress
NoSQL Databases,Relate,Park,Backgrounder,Complete
NoSQL Databases,Relate,Engage,PoC,Complete
NoSQL Databases,Relate,Engage,Research Summary,In Progress
Observability,Study,Engage,Backgrounder,In Progress
Open Everything,Study,Engage,Backgrounder,Complete
Pan-Canadian Trust Framework,Study,Engage,Backgrounder,Complete
Quantum Computing,Plan,Engage,Backgrounder,Complete
Quantum Computing,Plan,Engage,Procurement,Planned
Quantum Computing,Plan,Engage,Research Summary,Complete
Quantum Machine Learning,Identify,Engage,Backgrounder,Planned
R / Python,Study,Engage,Backgrounder,Complete
REST,Adopt,Engage,Pilot,Complete
Real-Time Analytics/Continuous Intelligence,Adopt,Engage,Backgrounder,Complete
Real-Time Analytics/Continuous Intelligence,Adopt,Engage,Outlook,Complete
Real-Time Analytics/Continuous Intelligence,Adopt,Engage,Reference Architecture,In Progress
Record Linking,Relate,Engage,PoC,Complete
Robotic Process Automation,Adopt,Engage,Backgrounder,Complete
Robotic Process Automation,Adopt,Engage,Outlook,Complete
Robotic Process Automation,Adopt,Engage,Pilot,Complete
Robotic Process Automation,Adopt,Engage,PoC,Complete
Robotic Process Automation,Adopt,Engage,Reference Architecture,In Progress
Secure Hardware Systems,Study,Engage,Backgrounder,Planned
Secure Multiparty Computation,Study,Engage,Backgrounder,Planned
Taxonomy and Ontology,Study,Park,Backgrounder,Complete
Text Analytics,Adopt,Engage,Backgrounder,Complete
Text Analytics,Adopt,Engage,Reference Architecture,In Progress
Touchless computing,Study,Engage,Backgrounder,Planned
Two-factor Authentication,Relate,Engage,PoC,Complete
Vision-Based  AI,Adopt,Engage,Backgrounder,Complete
Vision-Based  AI,Adopt,Engage,Standards,Complete
Wardley Mapping,Study,Engage,Backgrounder,In Progress
